Name,Password,Position,Specialization,Tenure
Ramesh,Ramesh,Doctor,cardiologists,05-05-2020
Kumar,Kumar,Doctor,neurologist,05-12-2020
Kevin,Kevin,Doctor,dermatologist,10-10-2020
Ramya,Ramya,Nurse,support,03-06-2020
Ramsey,Ramsey,Nurse,support,05-01-2020
test,test,test,test,test
Raghav,Raghav,Receptionist,support,06-02-2020
Som,Som,Doctor,Opthamologist,31-06-2022
Saaras,Saaras,Doctor,ENT,22-04-2021
Vishal,Vishal,Sanitation,support,23-05-2024
Rakesh,Rakesh,Doctor,ENT,31-12-2025
Hari,Hari,Doctor,GeneralMedicine,12-12-2030
